Order_ID,Date,Product,Category,Units_Sold,Unit_Price_GHS,Revenue_GHS,Refunds,Region
A1001,2025-01-01,Phone Case,Accessories,10,50,500,0,Accra
A1002,2025-01-02,Laptop Stand,Office,15,180,2700,1,Kumasi
A1003,2025-01-03,Wireless Mouse,Electronics,25,120,3000,0,Takoradi
A1004,2025-01-04,Keyboard,Electronics,12,200,2400,0,Tamale
A1005,2025-01-05,Charger,Accessories,8,60,480,0,Cape Coast
A1006,2025-01-06,Phone Case,Accessories,10,50,500,0,Accra
A1007,2025-01-07,Laptop Stand,Office,15,180,2700,1,Kumasi
A1008,2025-01-08,Wireless Mouse,Electronics,25,120,3000,0,Takoradi
A1009,2025-01-09,Keyboard,Electronics,12,200,2400,0,Tamale
A1010,2025-01-10,Charger,Accessories,8,60,480,0,Cape Coast
A1011,2025-01-11,Phone Case,Accessories,10,50,500,0,Accra
A1012,2025-01-12,Laptop Stand,Office,15,180,2700,1,Kumasi
A1013,2025-01-13,Wireless Mouse,Electronics,25,120,3000,0,Takoradi
A1014,2025-01-14,Keyboard,Electronics,12,200,2400,0,Tamale
A1015,2025-01-15,Charger,Accessories,8,60,480,0,Cape Coast
A1016,2025-01-16,Phone Case,Accessories,10,50,500,0,Accra
A1017,2025-01-17,Laptop Stand,Office,15,180,2700,1,Kumasi
A1018,2025-01-18,Wireless Mouse,Electronics,25,120,3000,0,Takoradi
A1019,2025-01-19,Keyboard,Electronics,12,200,2400,0,Tamale
A1020,2025-01-20,Charger,Accessories,8,60,480,0,Cape Coast
A1021,2025-01-21,Phone Case,Accessories,10,50,500,0,Accra
A1022,2025-01-22,Laptop Stand,Office,15,180,2700,1,Kumasi
A1023,2025-01-23,Wireless Mouse,Electronics,25,120,3000,0,Takoradi
A1024,2025-01-24,Keyboard,Electronics,12,200,2400,0,Tamale
A1025,2025-01-25,Charger,Accessories,8,60,480,0,Cape Coast
A1026,2025-01-26,Phone Case,Accessories,10,50,500,0,Accra
A1027,2025-01-27,Laptop Stand,Office,15,180,2700,1,Kumasi
A1028,2025-01-28,Wireless Mouse,Electronics,25,120,3000,0,Takoradi
A1029,2025-01-29,Keyboard,Electronics,12,200,2400,0,Tamale
A1030,2025-01-30,Charger,Accessories,8,60,480,0,Cape Coast
