Rainfall_mm,Fertilizer,Temperature,Nitrogen_n,Phosphorus_p,Potassium_k,Yield_q/acre
1230.0,80.0,28,80.0,24.0,20.0,12.0
480.0,60.0,36,70.0,20.0,18.0,8.0
1250.0,75.0,29,78.0,22.0,19.0,11.0
450.0,65.0,35,70.0,19.0,18.0,9.0
1200.0,80.0,27,79.0,22.0,19.0,11.0
500.0,70.0,34,74.0,22.0,16.0,10.0
1275.0,71.0,28,77.0,21.0,20.0,11.0
425.0,65.0,37,67.0,18.0,15.0,7.0
1200.0,77.0,27,78.0,23.0,20.0,12.0
400.0,50.0,39,60.0,18.0,15.0,6.0
1280.0,80.0,26,80.0,24.0,20.0,12.0
415.0,55.0,38,65.0,19.0,17.0,8.0
1225.0,79.0,29,79.0,23.0,20.0,11.0
425.0,50.0,37,65.0,18.0,19.0,9.0
1250.0,70.0,24,70.0,22.0,18.0,11.0
400.0,60.0,39,60.0,18.0,15.0,5.5
1300.0,80.0,28,80.0,24.0,20.0,12.0
410.0,55.0,36,65.0,21.0,16.0,7.0
1150.0,77.0,28,76.0,23.0,20.0,11.0
1200.0,78.0,27,78.0,23.0,19.0,12.0
410.0,50.0,37,59.0,19.0,15.0,6.0
1280.0,76.0,26,75.0,24.0,19.0,11.0
425.0,55.0,38,65.0,19.0,17.0,7.0
1225.0,73.0,29,73.0,23.0,20.0,10.0
450.0,50.0,37,65.0,18.0,19.0,9.0
1250.0,70.0,24,70.0,22.0,18.0,10.0
400.0,60.0,39,60.0,18.0,15.0,6.0
1250.0,80.0,28,80.0,24.0,20.0,12.0
405.0,55.0,36,60.0,21.0,16.0,7.0
1200.0,72.0,29,73.0,21.0,19.0,10.0
1150.0,80.0,26,75.0,21.0,20.0,11.0
475.0,55.0,39,61.0,18.0,16.0,6.0
1275.0,76.0,26,75.0,24.0,19.0,11.0
450.0,55.0,38,65.0,19.0,17.0,7.0
1200.0,73.0,29,73.0,23.0,20.0,10.0
500.0,50.0,37,65.0,18.0,19.0,9.0
1300.0,70.0,24,70.0,22.0,18.0,10.0
425.0,60.0,39,60.0,18.0,15.0,6.0
1250.0,75.0,26,75.0,22.0,19.0,12.0
440.0,58.0,37,66.0,22.0,18.0,8.0
1275.0,78.0,28,77.0,23.0,21.0,11.0
1175.0,78.0,28,75.0,23.0,22.0,11.0
410.0,60.0,39,65.0,18.0,15.0,6.0
1250.0,80.0,26,78.0,23.0,19.0,11.0
460.0,55.0,38,61.0,20.0,18.0,7.0
445.0,60.0,38,68.0,22.0,18.0,8.0
1220.0,77.0,29,75.0,22.0,19.0,10.0
450.0,50.0,37,60.0,18.0,15.0,6.0
1225.0,79.0,24,79.0,22.0,19.0,11.0
430.0,65.0,39,65.0,19.0,16.0,6.0
1275.0,77.0,27,78.0,21.0,20.0,11.0
400.0,52.0,38,64.0,19.0,15.0,6.5
1245.0,78.0,27,78.0,22.0,19.0,10.0
455.0,58.0,37,61.0,21.0,18.0,7.5
1280.0,73.0,28,75.0,24.0,19.0,11.0
475.0,62.0,37,68.0,22.0,18.0,9.0
1300.0,79.0,28,77.0,23.0,19.0,10.0
425.0,55.0,36,65.0,19.0,15.0,7.0
1175.0,77.0,25,75.0,22.0,19.0,11.0
425.0,70.0,39,70.0,20.0,16.0,6.5
1200.0,75.0,27,79.0,21.0,20.0,11.0
450.0,56.0,40,67.0,18.0,15.0,7.0
1200.0,75.0,27,76.0,21.0,19.0,11.0
410.0,55.0,38,68.0,20.0,16.0,7.0
1250.0,75.0,27,75.0,23.0,20.0,11.0
475.0,60.0,37,63.0,20.0,18.0,7.0
1225.0,75.0,29,77.0,23.0,19.0,10.0
455.0,60.0,38,65.0,20.0,16.0,8.5
1245.0,77.0,27,75.0,22.0,20.0,9.5
450.0,59.0,40,67.0,18.0,16.0,7.5
1200.0,79.0,27,77.0,23.0,20.0,10.5
475.0,72.0,36,71.0,21.0,17.0,7.0
1275.0,77.0,28,76.0,22.0,19.0,10.0
475.0,58.0,39,68.0,19.0,16.0,7.5
400.0,50.0,40,60.0,18.0,15.0,6.0
1175.0,70.0,28,70.0,22.0,19.0,10.0
445.0,65.0,39,65.0,21.0,19.0,7.5
1200.0,77.0,29,76.0,22.0,19.0,9.5
450.0,65.0,38,60.0,20.0,16.0,8.0
1225.0,75.0,28,79.0,21.0,19.0,9.5
450.0,65.0,39,70.0,20.0,19.0,8.5
1300.0,76.0,28,77.0,22.0,20.0,9.0
450.0,70.0,36,72.0,25.0,18.0,8.0
1250.0,77.0,28,76.0,22.0,19.0,10.0
475.0,60.0,39,70.0,20.0,17.0,8.0
1200.0,75.0,28,77.0,23.0,19.0,11.0
410.0,52.0,40,62.0,19.0,16.0,6.5
1225.0,75.0,28,75.0,23.0,20.0,11.0
460.0,60.0,39,60.0,20.0,16.0,7.0
1150.0,78.0,29,77.0,21.0,18.0,9.0
475.0,65.0,38,60.0,20.0,16.0,8.0
1250.0,77.0,28,78.0,23.0,20.0,9.0
425.0,60.0,39,65.0,19.0,17.0,6.5
1220.0,79.0,28,77.0,23.0,21.0,10.5
480.0,65.0,36,68.0,21.0,16.0,7.0
