Date,Platform,Campaign,Spend_GHS,Clicks,Impressions,Orders,Revenue_GHS
2025-01-01,Meta,Winter Sale,2500,1500,50000,25,12500
2025-01-02,Google,Electronics Boost,4000,2000,60000,40,24000
2025-01-03,TikTok,Apparel Drive,1800,1200,40000,20,9600
2025-01-04,Meta,Flash Sale,2200,1700,70000,30,15000
2025-01-05,Google,Brand Awareness,1500,1000,30000,15,7500
2025-01-06,Meta,Winter Sale,2500,1500,50000,25,12500
2025-01-07,Google,Electronics Boost,4000,2000,60000,40,24000
2025-01-08,TikTok,Apparel Drive,1800,1200,40000,20,9600
2025-01-09,Meta,Flash Sale,2200,1700,70000,30,15000
2025-01-10,Google,Brand Awareness,1500,1000,30000,15,7500
2025-01-11,Meta,Winter Sale,2500,1500,50000,25,12500
2025-01-12,Google,Electronics Boost,4000,2000,60000,40,24000
2025-01-13,TikTok,Apparel Drive,1800,1200,40000,20,9600
2025-01-14,Meta,Flash Sale,2200,1700,70000,30,15000
2025-01-15,Google,Brand Awareness,1500,1000,30000,15,7500
2025-01-16,Meta,Winter Sale,2500,1500,50000,25,12500
2025-01-17,Google,Electronics Boost,4000,2000,60000,40,24000
2025-01-18,TikTok,Apparel Drive,1800,1200,40000,20,9600
2025-01-19,Meta,Flash Sale,2200,1700,70000,30,15000
2025-01-20,Google,Brand Awareness,1500,1000,30000,15,7500
2025-01-21,Meta,Winter Sale,2500,1500,50000,25,12500
2025-01-22,Google,Electronics Boost,4000,2000,60000,40,24000
2025-01-23,TikTok,Apparel Drive,1800,1200,40000,20,9600
2025-01-24,Meta,Flash Sale,2200,1700,70000,30,15000
2025-01-25,Google,Brand Awareness,1500,1000,30000,15,7500
2025-01-26,Meta,Winter Sale,2500,1500,50000,25,12500
2025-01-27,Google,Electronics Boost,4000,2000,60000,40,24000
2025-01-28,TikTok,Apparel Drive,1800,1200,40000,20,9600
2025-01-29,Meta,Flash Sale,2200,1700,70000,30,15000
2025-01-30,Google,Brand Awareness,1500,1000,30000,15,7500
