"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","subscription"
"1",58,5,2,3,0,2143,1,0,3,5,9,261,1,-1,0,4,"no",1
"2",44,10,3,2,0,29,1,0,3,5,9,151,1,-1,0,4,"no",1
"3",33,3,2,2,0,2,1,1,3,5,9,76,1,-1,0,4,"no",1
"4",47,2,2,4,0,1506,1,0,3,5,9,92,1,-1,0,4,"no",1
"5",33,12,3,4,0,1,0,0,3,5,9,198,1,-1,0,4,"no",1
"6",35,5,2,3,0,231,1,0,3,5,9,139,1,-1,0,4,"no",1
"7",28,5,3,3,0,447,1,1,3,5,9,217,1,-1,0,4,"no",1
"8",42,3,1,3,1,2,1,0,3,5,9,380,1,-1,0,4,"no",1
"9",58,6,2,1,0,121,1,0,3,5,9,50,1,-1,0,4,"no",1
"10",43,10,3,2,0,593,1,0,3,5,9,55,1,-1,0,4,"no",1
"11",41,1,1,2,0,270,1,0,3,5,9,222,1,-1,0,4,"no",1
"12",29,1,3,2,0,390,1,0,3,5,9,137,1,-1,0,4,"no",1
"13",53,10,2,2,0,6,1,0,3,5,9,517,1,-1,0,4,"no",1
"14",58,10,2,4,0,71,1,0,3,5,9,71,1,-1,0,4,"no",1
"15",57,8,2,2,0,162,1,0,3,5,9,174,1,-1,0,4,"no",1
"16",51,6,2,1,0,229,1,0,3,5,9,353,1,-1,0,4,"no",1
"17",45,1,3,4,0,13,1,0,3,5,9,98,1,-1,0,4,"no",1
"18",57,2,2,1,0,52,1,0,3,5,9,38,1,-1,0,4,"no",1
"19",60,6,2,1,0,60,1,0,3,5,9,219,1,-1,0,4,"no",1
"20",33,8,2,2,0,0,1,0,3,5,9,54,1,-1,0,4,"no",1
"21",28,2,2,2,0,723,1,1,3,5,9,262,1,-1,0,4,"no",1
"22",56,5,2,3,0,779,1,0,3,5,9,164,1,-1,0,4,"no",1
"23",32,2,3,1,0,23,1,1,3,5,9,160,1,-1,0,4,"no",1
"24",25,8,2,2,0,50,1,0,3,5,9,342,1,-1,0,4,"no",1
"25",40,6,2,1,0,0,1,1,3,5,9,181,1,-1,0,4,"no",1
"26",44,1,2,2,0,-372,1,0,3,5,9,172,1,-1,0,4,"no",1
"27",39,5,3,3,0,255,1,0,3,5,9,296,1,-1,0,4,"no",1
"28",52,3,2,2,0,113,1,1,3,5,9,127,1,-1,0,4,"no",1
"29",46,5,3,2,0,-246,1,0,3,5,9,255,2,-1,0,4,"no",1
"30",36,10,3,2,0,265,1,1,3,5,9,348,1,-1,0,4,"no",1
"31",57,10,2,2,0,839,0,1,3,5,9,225,1,-1,0,4,"no",1
"32",49,5,2,3,0,378,1,0,3,5,9,230,1,-1,0,4,"no",1
"33",60,1,2,2,0,39,1,1,3,5,9,208,1,-1,0,4,"no",1
"34",59,2,2,2,0,0,1,0,3,5,9,226,1,-1,0,4,"no",1
"35",51,5,2,3,0,10635,1,0,3,5,9,336,1,-1,0,4,"no",1
"36",57,10,1,2,0,63,1,0,3,5,9,242,1,-1,0,4,"no",1
"37",25,2,2,2,0,-7,1,0,3,5,9,365,1,-1,0,4,"no",1
"38",53,10,2,2,0,-3,0,0,3,5,9,1666,1,-1,0,4,"no",1
"39",36,1,1,2,0,506,1,0,3,5,9,577,1,-1,0,4,"no",1
"40",37,1,3,2,0,0,1,0,3,5,9,137,1,-1,0,4,"no",1
"41",44,8,1,2,0,2586,1,0,3,5,9,160,1,-1,0,4,"no",1
"42",50,5,2,2,0,49,1,0,3,5,9,180,2,-1,0,4,"no",1
"43",60,2,2,4,0,104,1,0,3,5,9,22,1,-1,0,4,"no",1
"44",54,6,2,2,0,529,1,0,3,5,9,1492,1,-1,0,4,"no",1
"45",58,6,2,4,0,96,1,0,3,5,9,616,1,-1,0,4,"no",1
"46",36,1,3,1,0,-171,1,0,3,5,9,242,1,-1,0,4,"no",1
"47",58,7,2,3,0,-364,1,0,3,5,9,355,1,-1,0,4,"no",1
"48",44,10,2,2,0,0,1,0,3,5,9,225,2,-1,0,4,"no",1
"49",55,10,1,2,0,0,0,0,3,5,9,160,1,-1,0,4,"no",1
"50",29,5,3,3,0,0,1,0,3,5,9,363,1,-1,0,4,"no",1
"51",54,2,2,2,0,1291,1,0,3,5,9,266,1,-1,0,4,"no",1
"52",48,5,1,3,0,-244,1,0,3,5,9,253,1,-1,0,4,"no",1
