"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","subscription"
"1",30,11,2,1,0,1787,0,0,1,19,11,79,1,-1,0,4,"no",1
"2",33,8,2,2,0,4789,1,1,1,11,9,220,1,339,4,1,"no",1
"3",35,5,3,3,0,1350,1,0,1,16,1,185,1,330,1,1,"no",1
"4",30,5,2,3,0,1476,1,1,3,3,7,199,4,-1,0,4,"no",1
"5",59,2,2,2,0,0,1,0,3,5,9,226,1,-1,0,4,"no",1
"6",35,5,3,3,0,747,0,0,1,23,4,141,2,176,3,1,"no",1
"7",36,7,2,3,0,307,1,0,1,14,9,341,1,330,2,2,"no",1
"8",39,10,2,2,0,147,1,0,1,6,9,151,2,-1,0,4,"no",1
"9",41,3,2,3,0,221,1,0,3,14,9,57,2,-1,0,4,"no",1
"10",43,8,2,1,0,-88,1,1,1,17,1,313,1,147,2,1,"no",1
"11",39,8,2,2,0,9374,1,0,3,20,9,273,1,-1,0,4,"no",1
"12",43,1,2,2,0,264,1,0,1,17,1,113,2,-1,0,4,"no",1
"13",36,10,2,3,0,1109,0,0,1,13,2,328,2,-1,0,4,"no",1
"14",20,9,3,2,0,502,0,0,1,30,1,261,1,-1,0,4,"yes",2
"15",31,2,2,2,0,360,1,1,1,29,5,89,1,241,1,1,"no",1
"16",40,5,2,3,0,194,0,1,1,29,2,189,2,-1,0,4,"no",1
"17",56,10,2,2,0,4073,0,0,1,27,2,239,5,-1,0,4,"no",1
"18",37,1,3,3,0,2317,1,0,1,20,1,114,1,152,2,1,"no",1
"19",25,2,3,1,0,-221,1,0,3,23,9,250,1,-1,0,4,"no",1
"20",31,8,2,2,0,132,0,0,1,7,6,148,1,152,1,2,"no",1
"21",38,5,1,4,0,0,1,0,1,18,10,96,2,-1,0,4,"no",1
"22",42,5,1,3,0,16,0,0,1,19,10,140,3,-1,0,4,"no",1
"23",44,8,3,2,0,106,0,0,3,12,7,109,2,-1,0,4,"no",1
"24",44,3,2,2,0,93,0,0,1,7,6,125,2,-1,0,4,"no",1
"25",26,4,2,3,0,543,0,0,1,30,5,169,3,-1,0,4,"no",1
"26",41,5,2,3,0,5883,0,0,1,20,10,182,2,-1,0,4,"no",1
"27",55,2,2,1,0,627,1,0,3,5,9,247,1,-1,0,4,"no",1
"28",67,6,2,4,0,696,0,0,2,17,2,119,1,105,2,1,"no",1
"29",56,7,2,2,0,784,0,1,1,30,6,149,2,-1,0,4,"no",1
"30",53,1,2,2,0,105,0,1,1,21,2,74,2,-1,0,4,"no",1
"31",68,6,1,2,0,4189,0,0,2,14,6,897,2,-1,0,4,"yes",2
"32",31,10,2,2,0,171,0,0,1,27,2,81,3,-1,0,4,"no",1
"33",59,5,2,2,0,42,0,0,1,21,10,40,1,-1,0,4,"no",1
"34",32,5,3,3,0,2536,1,0,1,26,2,958,6,-1,0,4,"yes",2
"35",49,10,2,3,0,1235,0,0,1,13,2,354,3,-1,0,4,"yes",2
"36",42,1,1,2,0,1811,1,0,3,14,9,150,1,-1,0,4,"no",1
"37",78,6,1,1,0,229,0,0,2,22,11,97,1,-1,0,4,"yes",2
"38",32,2,2,2,0,2089,1,0,1,14,10,132,1,-1,0,4,"yes",2
"39",33,5,2,2,0,3935,1,0,1,6,9,765,1,342,2,1,"yes",2
